Code	Species
ea	Cerceris_arenaria
er	Cerceris_rybyensis
hc	Hedychrum_chalybaeum
hn	Hedychrum_nobile
mm	Megascolia_maculata
sd	Sapygina_decemguttata
sh	Scolia_hirta
sq	Sapyga_quinquepunctata
pb	Polistes_biglumis
pd	Polistes_aff_dominula
mg	Myrmica_ruginodis
mb	Myrmica_brunneus
fr	Formica_rufibarbis
fl	Formica_lemani
ca	Camponotus_maculatus_Ct2
cb	Camponotus_maculatus_Ct1
ao	Acromyrmex_octospinosus
ae	Acromyrmex_echinatior
bl 	Bombus_lapidarius
bt	Bombus_terrestris
vg	Vespula_germanica
vc	Vespa_crabro
ln 	Lasius_niger
lb	Lasius_brunneus
tr	Temnothorax_rugatulus
tl 	Temnothorax_longispinosus
