Compound	Chain_Length	Is_Mixture	Backbone	Class	Contains_Unsaturated	Contains_Methylbranched	Me_Positions	Me_Count	Double_Bond_Count	Components
C16unknownCHC	16.0	False	unknown	unknown						
C19nAlkane	19.0	False	saturated	alkane	False	False	[]	0.0	0.0	
C19unknownCHC	19.0	False	unknown	unknown						
C20alkene	20.0	False	unsaturated	alkene	True	False	[]	0.0	1.0	
C20nAlkane	20.0	False	saturated	alkane	False	False	[]	0.0	0.0	
C20unknown	20.0	False	unknown	unknown						
C20unknownCHC	20.0	False	unknown	unknown						
C21alkene	21.0	False	unsaturated	alkene	True	False	[]	0.0	1.0	
C21MonoMe3	21.0	False	saturated	methylbranched	False	True	[3]	1.0	0.0	
C21nAlkane	21.0	False	saturated	alkane	False	False	[]	0.0	0.0	
C21unknown	21.0	False	unknown	unknown						
C22nAlkane	22.0	False	saturated	alkane	False	False	[]	0.0	0.0	
C22unknown	22.0	False	unknown	unknown						
C22unknownCHC	22.0	False	unknown	unknown						
C23alkene	23.0	False	unsaturated	alkene	True	False	[]	0.0	1.0	
C23intMonoMe	23.0	False	saturated	methylbranched	False	True	[None]	1.0	0.0	
C23MonoMe3	23.0	False	saturated	methylbranched	False	True	[3]	1.0	0.0	
C23MonoMe5	23.0	False	saturated	methylbranched	False	True	[5]	1.0	0.0	
C23MonoMe7	23.0	False	saturated	methylbranched	False	True	[7]	1.0	0.0	
C23nAlkane	23.0	False	saturated	alkane	False	False	[]	0.0	0.0	
C23unknown	23.0	False	unknown	unknown						
C23unknownCHC	23.0	False	unknown	unknown						
C24alkene	24.0	False	unsaturated	alkene	True	False	[]	0.0	1.0	
C24DiMe5	24.0	False	saturated	methylbranched	False	True	[5, None]	2.0	0.0	
C24intMonoMe	24.0	False	saturated	methylbranched	False	True	[None]	1.0	0.0	
C24MonoMe2_DiMe5	24.0	True	saturated	methylbranched	False	True				['C24MonoMe2', 'C24DiMe5']
C24MonoMe4	24.0	False	saturated	methylbranched	False	True	[4]	1.0	0.0	
C24nAlkane	24.0	False	saturated	alkane	False	False	[]	0.0	0.0	
C24unknown	24.0	False	unknown	unknown						
C24unknownCHC	24.0	False	unknown	unknown						
C25alkene	25.0	False	unsaturated	alkene	True	False	[]	0.0	1.0	
C25DiMe	25.0	False	saturated	methylbranched	False	True	[None, None]	2.0	0.0	
C25DiMe2	25.0	False	saturated	methylbranched	False	True	[2, None]	2.0	0.0	
C25DiMe3	25.0	False	saturated	methylbranched	False	True	[3, None]	2.0	0.0	
C25DiMe5	25.0	False	saturated	methylbranched	False	True	[5, None]	2.0	0.0	
C25intDiMe	25.0	False	saturated	methylbranched	False	True	[None, None]	2.0	0.0	
C25intMonoMe	25.0	False	saturated	methylbranched	False	True	[None]	1.0	0.0	
C25MonoMe3	25.0	False	saturated	methylbranched	False	True	[3]	1.0	0.0	
C25MonoMe5	25.0	False	saturated	methylbranched	False	True	[5]	1.0	0.0	
C25MonoMe7	25.0	False	saturated	methylbranched	False	True	[7]	1.0	0.0	
C25nAlkane	25.0	False	saturated	alkane	False	False	[]	0.0	0.0	
C25unknown	25.0	False	unknown	unknown						
C25unknownCHC	25.0	False	unknown	unknown						
C26alkene	26.0	False	unsaturated	alkene	True	False	[]	0.0	1.0	
C26DiMe3	26.0	False	saturated	methylbranched	False	True	[3, None]	2.0	0.0	
C26intDiMe	26.0	False	saturated	methylbranched	False	True	[None, None]	2.0	0.0	
C26intMonoMe	26.0	False	saturated	methylbranched	False	True	[None]	1.0	0.0	
C26MonoMe3	26.0	False	saturated	methylbranched	False	True	[3]	1.0	0.0	
C26MonoMe4	26.0	False	saturated	methylbranched	False	True	[4]	1.0	0.0	
C26nAlkane	26.0	False	saturated	alkane	False	False	[]	0.0	0.0	
C26TetraMe	26.0	False	saturated	alkane	False	False	[]	0.0	0.0	
C26unknown	26.0	False	unknown	unknown						
C27alkene	27.0	False	unsaturated	alkene	True	False	[]	0.0	1.0	
C27DiMe3	27.0	False	saturated	methylbranched	False	True	[3, None]	2.0	0.0	
C27DiMe5	27.0	False	saturated	methylbranched	False	True	[5, None]	2.0	0.0	
C27DiMe7	27.0	False	saturated	methylbranched	False	True	[7, None]	2.0	0.0	
C27intDiMe	27.0	False	saturated	methylbranched	False	True	[None, None]	2.0	0.0	
C27intMonoMe	27.0	False	saturated	methylbranched	False	True	[None]	1.0	0.0	
C27MonoMe3	27.0	False	saturated	methylbranched	False	True	[3]	1.0	0.0	
C27MonoMe3_intDiMe	27.0	True	saturated	methylbranched	False	True				['C27MonoMe3', 'C27intDiMe']
C27MonoMe5	27.0	False	saturated	methylbranched	False	True	[5]	1.0	0.0	
C27MonoMe7	27.0	False	saturated	methylbranched	False	True	[7]	1.0	0.0	
C27nAlkane	27.0	False	saturated	alkane	False	False	[]	0.0	0.0	
C27TriMe3	27.0	False	saturated	methylbranched	False	True	[3, None, None]	3.0	0.0	
C27TriMe5	27.0	False	saturated	methylbranched	False	True	[5, None, None]	3.0	0.0	
C27unknown	27.0	False	unknown	unknown						
C28DiMe5	28.0	False	saturated	methylbranched	False	True	[5, None]	2.0	0.0	
