species	DESAT_bf	DESAT_chc	DESAT_odb	ELO_bf	ELO_chc	ELO_odb	FAS_bf	FAS_chc
Vespula_germanica	17	12	38	54	54	54	66	66
Cerceris_rybyensis	7	5	21	14	14	15	6	10
Bombus_terrestris	26	20	45	47	47	49	21	26
Bombus_lapidarius	15	11	29	35	35	37	10	12
Vespa_crabro	19	17	32	49	49	81	42	45
Acromyrmex_octospinosus	17	15	41	15	15	38	17	19
Camponotus_maculatus_Ct2	11	8	28	24	24	26	16	22
Cerceris_arenaria	8	6	21	15	15	19	7	9
Formica_lemani	19	14	35	20	20	24	36	35
Hedychrum_chalybaeum	8	5	27	23	23	24	3	7
Hedychrum_nobile	13	6	30	20	20	61	167	174
Polistes_biglumis	8	6	22	17	17	29	34	29
Sapygina_decemguttata	11	8	26	21	21	43	38	40
Scolia_hirta	10	8	31	17	17	76	13	16
Sapyga_quinquepunctata	11	9	30	20	20	22	10	13
